code,price
15,20 000
16,30 000
17,75 000
19,35 000
20,25 000
21,25 000
22,50 000
23,25 000
24,70 000
25,300 000
26,70 000
28,88 000
29,30 000
30,75 000
31,100 000
32,100 000
33,25 000
34,25 000
35,5 000
37,40 000
38,96 000
39,50 000
40,60 000
41,70 000
42,70 000
43,90 000
44,80 000
46,80 000
47,50 000
48,10 000
49,50 000
50,50 000
51,76 000
52,45 000
53,45 000
54,75 000
55,50 000
56,20 000
57,40 000
58,90 000
59,30 000
60,80 000
61,69 000
62,97 000
63,65 000
64,137 000
65,48 000
66,40 000
67,40 000
68,40 000
69,45 000
70,72 000
71,92 000
72,60 000
73,45 000
74,40 000
75,150 000
76,65 000
77,120 000
78,50 000
79,20 000
80,20 000
81,15 000
83,30 000
84,30 000
85,25 000
86,20 000
87,20 000
88,20 000
90,30 000
91,30 000
92,25 000
93,30 000
94,30 000
95,20 000
96,20 000
97,20 000
99,340 000
101,96 000
102,25 000
103,20 000
104,80 000
105,120 000
106,15 000
107,50 000
111,420 000
112,300 000
113,45 000
114,40 000
115,180 000
117,30 000
118,30 000
119,90 000
120,40 000
121,20 000
122,30 000
123,64 000
124,253 000
126,40 000
127,50 000
128,30 000
129,20 000
130,70 000
131,50 000
132,50 000
133,1
135,30 000
136,217 000
140,80 000
141,20 000
143,40 000
145,1 000
146,1 500
147,1 000
148,1 000
149,80 000
150,260 000
152,1 500
155,80 000
156,45 000
157,50 000
158,2 000
159,3 000
160,5 000
161,1
162,40 000
163,76 000
164,15 000
165,30 000
166,50 000
168,150 000
169,250 000
170,80 000
171,40 000
172,12 000
173,4 000
174,10 000
175,50 000
176,45 000
177,100 000
180,350 000
182,20 000
183,95 000
184,50 000
185,50 000
186,290 000
188,10 000
189,15 000
191,100 000
192,50 000
193,40 000
194,200 000
195,50 000
196,103 000
202,10 000
203,20 000
204,70 000
205,150 000
206,90 000
207,90 000
209,64 000
216,130 000
242,135 000
310,12 000
334,20 000
335,8 000
339,15 000
356,103 000
363,90 000
366,90 000
367,3 000
382,75 000
383,100 000
389,120 000
392,225 000
393,40 000
394,80 000
398,220 000
403,128 000
406,76 000
411,225 000
412,73 000
413,34 000
415,171 000
417,150 000
418,235 000
419,92 000
420,100 000
421,60 000
423,60 000
424,80 000
425,90 000
426,90 000
427,100 000
428,70 000
429,90 000
430,70 000
431,100 000
433,70 000
434,60 000
435,60 000
436,70 000
437,70 000
438,90 000
439,110 000
440,50 000
441,100 000
442,90 000
443,90 000
444,90 000
445,90 000
446,90 000
447,80 000
448,80 000
449,80 000
450,80 000
451,80 000
452,80 000
453,80 000
454,50 000
455,100 000
456,20 000
457,40 000
458,40 000
459,20 000
460,20 000
461,66 000
465,40 000
467,46 000
471,50 000
472,30 000
474,30 000
475,30 000
476,15 000
477,50 000
478,70 000
479,50 000
480,90 000
481,50 000
490,78 000
491,40 000
494,60 000
498,90 000
499,51 000
500,261 000
501,47 000
502,240 000
503,394 000
504,167 000
505,261 000
506,47 000
507,47 000
508,163 000
509,244 000
510,47 000
511,28 000
512,531 000
513,536 000
514,56 000
515,73 000
516,120 000
517,111 000
518,50 000
519,81 000
520,34 000
521,73 000
522,90 000
523,90 000
524,90 000
525,90 000
526,90 000
527,90 000
528,378 000
529,269 000
530,90 000
531,164 000
532,102 000
533,217 000
534,279 000
535,77 000
536,260 000
537,90 000
538,81 000
539,81 000
540,133 000
541,81 000
542,70 000
543,90 000
544,90 000
545,380 000
546,141 000
547,190 000
548,90 000
549,220 000
550,211 000
551,313 000
552,107 000
553,103 000
554,137 000
555,81 000
556,317 000
557,107 000
558,163 000
559,81 000
560,120 000
561,219 000
562,514 000
563,189 000
564,677 000
565,317 000
566,279 000
567,120 000
568,163 000
569,56 000
570,90 000
571,90 000
572,137 000
573,171 000
574,454 000
575,223 000
576,347 000
577,206 000
578,56 000
579,86 000
580,86 000
581,64 000
582,86 000
583,86 000
584,193 000
585,90 000
586,244 000
587,86 000
588,197 000
589,64 000
590,137 000
591,137 000
592,210 000
593,159 000
594,193 000
595,146 000
596,146 000
597,86 000
598,137 000
599,180 000
600,73 000
601,73 000
602,296 000
603,73 000
604,73 000
605,107 000
606,90 000
607,73 000
608,81 000
609,81 000
610,240 000
611,171 000
612,253 000
613,103 000
614,227 000
615,107 000
616,219 000
617,133 000
618,86 000
619,64 000
620,64 000
621,86 000
622,77 000
623,69 000
624,154 000
625,154 000
626,210 000
627,154 000
628,154 000
629,171 000
630,154 000
631,154 000
632,103 000
633,103 000
634,103 000
635,124 000
636,200 000
642,80 000
647,130 000
648,50 000
652,50 000
653,50 000
656,225 000
657,60 000
661,111 000
662,30 000
667,180 000
676,73 000
677,50 000
681,150 000
